concat,Product,Cpu_Full,Memory_Full,Gpu_Full
1256Windows 10Intel817.3AMD Radeon 530,Inspiron 5770,Intel Core i7 8550U 1.8GHz,128GB SSD +  1TB HDD,AMD Radeon 530
1249Windows 7Intel412.5Intel HD Graphics 520,Latitude E5270,Intel Core i3 6100U 2.3GHz,500GB HDD,Intel HD Graphics 520
1249Windows 10Intel1615.6AMD Radeon 530,Inspiron 5570,Intel Core i7 8550U 1.8GHz,256GB SSD +  2TB HDD,AMD Radeon 530
1249Windows 10Intel814Intel HD Graphics 620,Zenbook 3,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1243Windows 10Intel815.6Nvidia GeForce 940MX,Inspiron 7570,Intel Core i7 8550U 1.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce 940MX
1242Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti
1242Windows 10Intel813.3Intel HD Graphics 620,Zenbook UX330UA-AH5Q,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1242Windows 10Intel817.3Nvidia GeForce GTX 1060,Omen -,Intel Core i5 6300HQ 2.3GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1239Windows 10Intel814Intel HD Graphics 620,Latitude 5480,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1236Windows 10Intel814Intel HD Graphics 620,ProBook 650,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620
1232Windows 10Intel815.6Nvidia GeForce GTX 1050,GL62M 7RD,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1231Windows 10Intel813.3Nvidia GeForce MX150,Envy 13-ad009n,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce MX150
1231Windows 10Intel815.6Intel HD Graphics 520,Tecra A50-C-1ZV,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1231Windows 10Intel814Intel HD Graphics 620 ,Latitude 5480,Intel Core i5 7200U 2.5GHz,128GB SSD,Intel HD Graphics 620 
1230Windows 10Intel815.6Nvidia GeForce 940MX,VivoBook S15,Intel Core i7 8550U 1.8GHz,256GB SSD,Nvidia GeForce 940MX
1229Windows 10Intel815.6Intel HD Graphics 620,Latitude 5580,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1228Windows 10Intel814AMD Radeon RX 550,ThinkPad E480,Intel Core i5 8250U 1.6GHz,256GB SSD,AMD Radeon RX 550
1220Windows 10Intel815.6Nvidia GeForce GTX 1050M,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050M
1216Windows 10Intel414Intel HD Graphics 520,Tecra Z40-C-12X,Intel Core i5 6200U 2.3GHz,128GB SSD,Intel HD Graphics 520
1213Windows 10Intel813.3Intel UHD Graphics 620,ProBook 430,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
1210Windows 10Intel414Intel HD Graphics 520,EliteBook 840,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
1210Windows 7Intel414Intel HD Graphics 520,EliteBook 840,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1209Mac OS XIntel813.3Intel HD Graphics 6000,MacBook Air,Intel Core i5 1.6GHz,128GB Flash Storage,Intel HD Graphics 6000
1209Windows 10Intel814Intel UHD Graphics 620,ZenBook UX430UA,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620
1209LinuxIntel817.3AMD Radeon 530,Inspiron 5770,Intel Core i7 8550U 1.8GHz,128GB SSD +  1TB HDD,AMD Radeon 530
1209Windows 10Intel1215.6Nvidia GeForce GT 940MX,ZenBook Flip,Intel Core i7 7500U 2.7GHz,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX
1209Windows 10Intel814Nvidia GeForce 940MX,IdeaPad 720S-14IKB,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce 940MX
1209LinuxIntel814Intel HD Graphics 620,Latitude 5480,Intel Core i7 7600U 2.8GHz,256GB SSD,Intel HD Graphics 620
1209Windows 10Intel815.6Nvidia GeForce GTX 1050,Omen 15-AX205na,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1209Windows 10Intel812.5Intel HD Graphics 520,Thinkpad X260,Intel Core i5 6200U 2.3GHz,180GB SSD,Intel HD Graphics 520
1209Windows 10Intel815.6Nvidia GeForce GTX 1050,15-cb003na (i5-7300HQ/8GB/1TB,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1209Windows 10Intel1615.6Nvidia GeForce GTX 960M,Inspiron 7559,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
1209Windows 10Intel815.6Nvidia GeForce GTX 1050,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050
1209Windows 10Intel815.6Intel HD Graphics 620,Pro P2540UA-XS51,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1209Windows 10Intel1615.6AMD Radeon R7 M360,IdeaPad 500-15ISK,Intel Core i7 6500U 2.5GHz,1.0TB Hybrid,AMD Radeon R7 M360
1209LinuxIntel813.3Intel HD Graphics 520,XPS 13,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
1207Windows 10Intel815.6Intel HD Graphics 630,Thinkpad T570,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 630
1206Windows 10Intel815.6Intel UHD Graphics 620,Latitude 5590,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1206Windows 10Intel414Intel HD Graphics 520,Thinkpad T460,Intel Core i5 6200U 2.3GHz,180GB SSD,Intel HD Graphics 520
1205Windows 10Intel817.3Nvidia GeForce GTX 1050,GL72M 7RDX,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1205Windows 10Intel813.3Intel HD Graphics 520,Portégé Z30-C-188,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1203Windows 10Intel814Intel HD Graphics 620,ZenBook UX410UA-GV183T,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1203Windows 10Intel815.6Intel HD Graphics 620,Inspiron 5578,Intel Core i5 7200U 2.7GHz,256GB SSD,Intel HD Graphics 620
1199Windows 10Intel414Intel HD Graphics 620,Tecra X40-D-10Z,Intel Core i5 7200U 2.5GHz,128GB SSD,Intel HD Graphics 620
1199Windows 10Intel813.3Intel HD Graphics 620,ProBook 430,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1198Windows 10 SIntel413.5Intel HD Graphics 620,Surface Laptop,Intel Core i5 7200U 2.5GHz,128GB SSD,Intel HD Graphics 620
1198LinuxIntel814Nvidia GeForce 930MX,Latitude 5480,Intel Core i5 7440HQ 2.8GHz,256GB SSD,Nvidia GeForce 930MX
1198Windows 10Intel815.6Nvidia GeForce GTX 1050,GL62M (i5-7300HQ/8GB/1TB,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1194Windows 10Intel817.3AMD Radeon 530,Inspiron 5770,Intel Core i7 8550U 1.8GHz,128GB SSD +  1TB HDD,AMD Radeon 530
1194Windows 10Intel817.3AMD Radeon 530,Inspiron 5770,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,AMD Radeon 530
1192Windows 10Intel814Intel UHD Graphics 620,Probook 440,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
1190Windows 10Intel414Intel HD Graphics 620,EliteBook 840,Intel Core i5 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1188Windows 10Intel817.3Nvidia GeForce 930MX,Probook 470,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce 930MX
1187Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050 Ti
1187Windows 10Intel813.9Intel HD Graphics 620,Yoga 910-13IKB,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1179Windows 10Intel814Intel HD Graphics 520,ThinkPad L460,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1177Windows 10Intel815.6Intel HD Graphics 620,ProBook 450,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1170Windows 10Intel815.6Intel HD Graphics 620,Tecra A50-D-11M,Intel Core i5 7200U 2.5GHz,500GB HDD,Intel HD Graphics 620
1169Windows 7Intel815.6Intel HD Graphics 520,Latitude E5570,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
1167Windows 10Intel815.6Nvidia GeForce GTX 1050,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1166Windows 10Intel414Intel HD Graphics 620,ProBook 640,Intel Core i5 7200U 2.5GHz,500GB HDD,Intel HD Graphics 620
1165Windows 10Intel1617.3Nvidia GeForce MX150,Envy 17-U275cl,Intel Core i7 8550U 1.8GHz,1TB HDD,Nvidia GeForce MX150
1161Windows 10Intel415.6Intel HD Graphics 620,ThinkPad L570,Intel Core i5 7200U 2.5GHz,500GB HDD,Intel HD Graphics 620
1155Windows 10Intel815.6Nvidia GeForce 940MX,VivoBook S15,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 940MX
1155Windows 10Intel815.6Intel HD Graphics 520,Thinkpad L560,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1154Windows 10Intel814Nvidia GeForce 930MX,ProBook 440,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce 930MX
1154Windows 10Intel814Intel HD Graphics 620,Zenbook UX430UA,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1154Windows 10Intel815.6Intel UHD Graphics 620,Inspiron 5579,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620
1154LinuxIntel1615.6AMD Radeon 530,Inspiron 5570,Intel Core i7 8550U 1.8GHz,256GB SSD +  2TB HDD,AMD Radeon 530
1154Windows 10Intel815.6Nvidia GeForce 940MX,Inspiron 7570,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce 940MX
1154Windows 10Intel814Intel UHD Graphics 620,ThinkPad E480,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1153Windows 10Intel815.6Nvidia GeForce GTX 1050,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1151Windows 10Intel815.6Intel HD Graphics 520,Latitude E5570,Intel Core i5 6300U 2.4GHz,500GB HDD,Intel HD Graphics 520
1150Windows 10Intel817.3Nvidia GeForce 930MX ,Probook 470,Intel Core i7 8550U 1.8GHz,256GB SSD,Nvidia GeForce 930MX 
1147Windows 10Intel815.6Nvidia GeForce 930M,Satellite Pro,Intel Core i7 6500U 2.5GHz,256GB SSD,Nvidia GeForce 930M
1143Windows 10Intel817.3Nvidia GeForce GTX 1050,Rog GL753VD-GC042T,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050
1137Windows 10Intel813.3Intel HD Graphics 620,Yoga 720-13IKB,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1134Windows 10Intel814Nvidia GeForce 930MX,Probook 440,Intel Core i7 8550U 1.8GHz,256GB SSD,Nvidia GeForce 930MX
1134Windows 7Intel414Intel HD Graphics 520,EliteBook 840,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1132Windows 10Intel812.5Intel HD Graphics 520,Blade Stealth,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1132Windows 10Intel1615.6Nvidia GeForce GTX 960M,IdeaPad Y700-15ISK,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
1131Windows 10Intel815.6Nvidia GeForce GTX 1050,GV62 7RD-1686NL,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Nvidia GeForce GTX 1050
1129Windows 10Intel813.3Nvidia GeForce 940M,ZenBook UX310UQ-GL026T,Intel Core i5 6200U 2.3GHz,512GB SSD,Nvidia GeForce 940M
1122Windows 10Intel414Intel HD Graphics 520,Tecra A40-C-1E5,Intel Core i5 6200U 2.3GHz,128GB SSD,Intel HD Graphics 520
1121Windows 10Intel815.6Nvidia GeForce 930MX,ProBook 450,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 930MX
1120Windows 10Intel817.3Nvidia GeForce 930MX ,Probook 470,Intel Core i7 8550U 1.8GHz,1TB HDD,Nvidia GeForce 930MX 
1119No OSIntel815.6Nvidia GeForce GTX 1050,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,1TB HDD,Nvidia GeForce GTX 1050
1113Windows 10Intel815.6Nvidia GeForce 940MX,Thinkpad E570,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce 940MX
1112Windows 10Intel814Intel HD Graphics 620,ProBook 440,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1111Windows 10Intel813.3Intel HD Graphics 620,Thinkpad 13,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1111Windows 10Intel815.6Nvidia GeForce 940MX,Vostro 5568,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 940MX
1110Windows 10Intel1215.6Nvidia GeForce GTX 950M,Aspire F5-573G-510L,Intel Core i5 7200U 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 950M
1109Windows 10Intel815.6Intel HD Graphics 620,Latitude 5580,Intel Core i5 7300U 2.6GHz,500GB HDD,Intel HD Graphics 620
1102Windows 7Intel414Intel HD Graphics 520,ThinkPad T460,Intel Core i5 6200U 2.3GHz,508GB Hybrid,Intel HD Graphics 520
1100Windows 10Intel414Intel HD Graphics 520,EliteBook 840,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1100No OSIntel813.3Nvidia GeForce MX150,Mi Notebook,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce MX150
1099Windows 10Intel815.6Nvidia GeForce GTX 1050,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1099Windows 10Intel1217.3Nvidia GeForce 150MX,Inspiron 7773,Intel Core i5 8250U 1.6GHz,1TB HDD,Nvidia GeForce 150MX
1099Windows 10Intel813.3Intel HD Graphics 620,IdeaPad 720S-13IKB,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1099Windows 10Intel815.6Nvidia GeForce GTX 1050,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050
1099Windows 10Intel815.6Nvidia GeForce GTX 1050,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,1TB HDD,Nvidia GeForce GTX 1050
1099Windows 10Intel813.3Intel UHD Graphics 620,Spin 5,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1099Windows 10Intel814Intel HD Graphics 620,Flex 5,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1099Windows 10Intel415.6Nvidia GeForce GTX 1050,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050
1099Windows 10AMD1615.6AMD Radeon R9 M385,IdeaPad Y700-15ACZ,AMD FX 8800P 2.1GHz,512GB SSD +  1TB HDD,AMD Radeon R9 M385
1099Windows 10Intel815.6Intel HD Graphics 620,Inspiron 7579,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1098Mac OS XIntel813.3Intel HD Graphics 6000,MacBook Air,Intel Core i5 1.6GHz,256GB Flash Storage,Intel HD Graphics 6000
1098No OSIntel1617.3Nvidia GeForce GTX 965M,Rog G752VL-GC088D,Intel Core i7 6700HQ 2.6GHz,1TB HDD,Nvidia GeForce GTX 965M
1098Windows 10Intel815.6Nvidia GeForce GTX 1050,GV62M 7RD,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Nvidia GeForce GTX 1050
1089Windows 10Intel414Intel HD Graphics 620,ThinkPad L470,Intel Core i5 7200U 2.5GHz,500GB HDD,Intel HD Graphics 620
1089Windows 10Intel1615.6AMD Radeon R7 M445,Inspiron 5567,Intel Core i7 7500U 2.7GHz,2TB HDD,AMD Radeon R7 M445
1088Windows 10Intel813.3Intel HD Graphics 615,Swift 7,Intel Core i5 7Y54 1.2GHz,256GB SSD,Intel HD Graphics 615
1088Windows 10 SIntel413.5Intel HD Graphics 615,Surface Laptop,Intel Core M m3-7Y30 2.2GHz,128GB SSD,Intel HD Graphics 615
1088No OSIntel815.6Nvidia GeForce GTX 1060,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1087Windows 10Intel814Intel UHD Graphics 620,Probook 440,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620
1084Windows 10Intel815.6AMD Radeon 530,Inspiron 5570,Intel Core i7 8550U 1.8GHz,128GB SSD +  2TB HDD,AMD Radeon 530
1084Windows 10Intel815.6Nvidia GeForce GTX 1050,Inspiron 7567,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Nvidia GeForce GTX 1050
1078Windows 10Intel814Intel HD Graphics 620,ProBook 640,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1077Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i5 8250U 1.6GHz,128GB SSD,Intel UHD Graphics 620
1077Windows 10Intel817.3AMD Radeon 530,Inspiron 5770,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,AMD Radeon 530
1077LinuxIntel815.6Nvidia GeForce GTX 1050 Ti,Aspire A715-71G,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050 Ti
1077Windows 10Intel815.6AMD Radeon 530,Inspiron 5570,Intel Core i7 8550U 1.8GHz,128GB SSD +  1TB HDD,AMD Radeon 530
1077Windows 10Intel815.6Nvidia GeForce 930MX,Probook 450,Intel Core i5 7200U 2.70GHz,128GB SSD +  1TB HDD,Nvidia GeForce 930MX
1077Windows 10Intel815.6Nvidia GeForce 940MX,Noteb Pav,Intel Core i7 7500U 2.7GHz,1TB HDD,Nvidia GeForce 940MX
1077Windows 10Intel415.6Intel HD Graphics 620,ProBook 450,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1075Windows 10Intel817.3Nvidia GeForce 930MX,ProBook 470,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce 930MX
1075Windows 10Intel815.6Nvidia GeForce 940MX,VivoBook S15,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce 940MX
1075Windows 10Intel415.6Nvidia GeForce GTX 950M,Ideapad 700-15ISK,Intel Core i5 6300HQ 2.3GHz,1TB HDD,Nvidia GeForce GTX 950M
1070Windows 10Intel813.3Intel HD Graphics 620,Satellite Pro,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1070Windows 10Intel414Intel HD Graphics 620,ProBook 440,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1068Windows 10Intel815.6AMD Radeon 530,Inspiron 5570,Intel Core i7 8550U 1.8GHz,128GB SSD +  2TB HDD,AMD Radeon 530
1057Windows 10Intel815.6Nvidia GeForce GT 940MX,Vostro 5568,Intel Core i7 7500U 2.7GHz,1TB HDD,Nvidia GeForce GT 940MX
1056Windows 10Intel813.3Intel HD Graphics 620,ThinkPad 13,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1056Windows 10Intel813.3Intel HD Graphics 620,Probook 430,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1055Windows 10Intel813.3Intel UHD Graphics 620,ProBook 430,Intel Core i5 8250U 1.6GHz,512GB SSD,Intel UHD Graphics 620
1055Windows 10Intel415.6Intel HD Graphics 620,Latitude 5580,Intel Core i5 7300U 2.6GHz,500GB HDD,Intel HD Graphics 620
1055Windows 10Intel815.6AMD Radeon R7 M460,Yoga 510-15IKB,Intel Core i5 7200U 2.5GHz,256GB SSD,AMD Radeon R7 M460
1055Mac OS XIntel411.6Intel HD Graphics 6000,MacBook Air,Intel Core i5 1.6GHz,256GB Flash Storage,Intel HD Graphics 6000
1051Windows 10Intel813.3AMD Radeon 530,Inspiron 5370,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon 530
1051Windows 10Intel815.6Intel HD Graphics 620,Latitude 3580,Intel Core i5 7200U 2.5GHz,1TB HDD,Intel HD Graphics 620
1046Windows 10Intel815.6Nvidia GeForce MX150,Aspire A517-51G,Intel Core i7 8550U 1.8GHz,256GB SSD,Nvidia GeForce MX150
1044LinuxIntel1217.3Nvidia GeForce GTX 1050 Ti,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050 Ti
1044Windows 10Intel815.6Nvidia GeForce GTX 1050,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050
1044Windows 10Intel813.3Intel UHD Graphics 620,Vostro 5370,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1044Windows 10Intel813.3Intel HD Graphics 620,ThinkPad 13,Intel Core i3 7100U 2.4GHz,256GB SSD,Intel HD Graphics 620
1044Windows 10Intel813.3Intel HD Graphics 620,ThinkPad 13,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1044Windows 10Intel617.3Nvidia GeForce 940MX,IdeaPad 320-17IKB,Intel Core i7 7500U 2.7GHz,128GB SSD +  1TB HDD,Nvidia GeForce 940MX
1044Windows 10AMD1215.6AMD Radeon 530,IdeaPad 320-15ABR,AMD A12-Series 9720P 3.6GHz,512GB SSD,AMD Radeon 530
1044Windows 10Intel815.6Nvidia GeForce GTX 1050,Inspiron 7567,Intel Core i5 7300HQ 2.5GHz,1.0TB Hybrid,Nvidia GeForce GTX 1050
1040Windows 10Intel814Intel HD Graphics 620,Zenbook UX410UA-GV027T,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1040Windows 10Intel815.6Intel HD Graphics 620,Latitude 5580,Intel Core i5 7200U 2.5GHz,128GB SSD,Intel HD Graphics 620
1037Windows 10Intel815.6Intel HD Graphics 620,Satellite Pro,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1035Windows 10Intel814Intel UHD Graphics 620,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1034Windows 7Intel415.6Intel HD Graphics 520,Probook 650,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1032Windows 10Intel817.3Nvidia GeForce GTX 1050,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1032Windows 10Intel814Intel HD Graphics 620,ThinkPad L470,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1029Windows 10Intel813.3Nvidia GeForce 940MX,Mi Notebook,Intel Core i5 6200U 2.3GHz,256GB SSD,Nvidia GeForce 940MX
1029Windows 10Intel815.6Intel HD Graphics 620,Latitude 5580,Intel Core i5 7300U 2.6GHz,500GB HDD,Intel HD Graphics 620
1025Windows 7Intel415.6Intel HD Graphics 520,EliteBook 850,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1025Windows 10Intel813.3AMD Radeon 530,Inspiron 5370,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon 530
1022LinuxIntel815.6Nvidia GeForce GTX 1050Ti,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050Ti
1021Windows 10Intel817.3Intel UHD Graphics 620,ProBook 470,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1021Windows 10Intel813.3Intel HD Graphics 620,ZenBook Flip,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1015Windows 10Intel817.3Nvidia GeForce 930MX,ProBook 470,Intel Core i5 8250U 1.6GHz,256GB SSD,Nvidia GeForce 930MX
1011Windows 10Intel814Intel Graphics 620,Swift 3,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel Graphics 620
1011Windows 10Intel815.6AMD Radeon 530,Inspiron 5570,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon 530
1007Windows 10Intel414Intel HD Graphics 520,Tecra A40-C-1KF,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1005Windows 10Intel817.3Nvidia GeForce 930MX,ProBook 470,Intel Core i5 8250U 1.6GHz,1TB HDD,Nvidia GeForce 930MX
1004Windows 10Intel415.6Nvidia GeForce 940MX,Vostro 5568,Intel Core i5 7200U 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce 940MX
1002Windows 10Intel815.6Intel HD Graphics 620,ThinkPad L570,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1001Windows 10Intel817.3Nvidia GeForce 930MX,ProBook 470,Intel Core i5 7200U 2.5GHz,1TB HDD,Nvidia GeForce 930MX
1001Windows 10Intel415.6Intel HD Graphics 520,Probook 450,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1000Windows 10Intel815.6Nvidia GeForce GTX 960M,Rog GL552VW-DM201T,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
997Windows 10Intel815.6Nvidia GeForce GTX 1050,VivoBook Pro,Intel Core i5 7300HQ 2.5GHz,1TB HDD,Nvidia GeForce GTX 1050
992Windows 10Intel815.6Intel UHD Graphics 620,ProBook 450,Intel Core i7 8550U 1.8GHz,1TB HDD,Intel UHD Graphics 620
992Windows 10Intel814Intel HD Graphics 620,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
990Windows 10Intel815.6Nvidia GeForce 930MX,ProBook 450,Intel Core i7 7500U 2.7GHz,1TB HDD,Nvidia GeForce 930MX
989Windows 10Intel815.6Nvidia GeForce GTX 1050,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,1.0TB Hybrid,Nvidia GeForce GTX 1050
989Windows 10Intel814Intel UHD Graphics 620,Yoga 520-14IKB,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
989LinuxIntel1615.6AMD Radeon R7 M445,Inspiron 5567,Intel Core i7 7500U 2.7GHz,256GB SSD,AMD Radeon R7 M445
